Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000ewx5,8,"Monday, January 28, 2013 20:29:14 UTC",37.5004,143.6056,4.7,33.40,28,"off the east coast of Honshu, Japan"
us,c000ewwg,6,"Monday, January 28, 2013 20:20:53 UTC",9.0722,-82.8662,4.8,29.80,66,"Panama-Costa Rica border region"
us,c000ewvl,5,"Monday, January 28, 2013 19:47:38 UTC",42.5072,79.5950,4.6,9.90,42,"eastern Kazakhstan"
ci,15278585,2,"Monday, January 28, 2013 19:40:44 UTC",33.7082,-116.7530,1.2,18.30,37,"Southern California"
us,c000ewv1,6,"Monday, January 28, 2013 19:38:20 UTC",38.3793,46.8492,4.5,10.00,29,"northwestern Iran"
nc,71930431,2,"Monday, January 28, 2013 19:36:21 UTC",36.5808,-121.1773,1.1,2.50,22,"Central California"
us,c000ewur,7,"Monday, January 28, 2013 19:33:15 UTC",-6.8336,129.0056,4.7,151.40,14,"Banda Sea"
nc,71930421,2,"Monday, January 28, 2013 19:27:03 UTC",36.5800,-121.4378,1.1,0.00,10,"Central California"
nc,71930411,0,"Monday, January 28, 2013 19:16:36 UTC",38.8130,-122.7948,1.1,2.70,21,"Northern California"
us,c000ewuh,4,"Monday, January 28, 2013 19:11:54 UTC",42.7726,79.3032,4.5,10.00,19,"eastern Kazakhstan"
nc,71930406,0,"Monday, January 28, 2013 18:53:16 UTC",38.8212,-122.7620,1.0,2.10,15,"Northern California"
ak,10646198,1,"Monday, January 28, 2013 18:30:09 UTC",63.2782,-145.2255,1.5,0.10, 7,"Central Alaska"
ci,15278553,2,"Monday, January 28, 2013 18:27:39 UTC",35.0445,-118.3747,1.2,0.00, 9,"Southern California"
ci,15278537,2,"Monday, January 28, 2013 17:51:18 UTC",33.4763,-116.7348,1.2,10.60,55,"Southern California"
nc,71930366,0,"Monday, January 28, 2013 17:46:07 UTC",38.8382,-122.7753,1.0,2.40,10,"Northern California"
nc,71930361,0,"Monday, January 28, 2013 17:38:37 UTC",38.8342,-122.7760,1.2,2.40,22,"Northern California"
us,c000ewrz,6,"Monday, January 28, 2013 17:31:46 UTC",42.7494,79.5263,4.4,10.10,20,"eastern Kazakhstan"
nc,71930351,0,"Monday, January 28, 2013 17:03:21 UTC",38.7875,-122.7625,1.3,1.50,23,"Northern California"
nc,71930326,3,"Monday, January 28, 2013 16:40:48 UTC",38.7910,-122.7262,2.4,2.10,62,"Northern California"
us,c000ewqq,9,"Monday, January 28, 2013 16:38:53 UTC",42.5977,79.6986,6.0,15.00,567,"eastern Kazakhstan"
nc,71930311,4,"Monday, January 28, 2013 16:11:06 UTC",38.0600,-118.9490,1.6,10.00,38,"Central California"
ak,10646135,1,"Monday, January 28, 2013 16:00:22 UTC",63.0996,-150.4636,1.8,29.60, 6,"Central Alaska"
hv,60459906,1,"Monday, January 28, 2013 15:49:42 UTC",19.9345,-155.6818,2.4,10.20,44,"Island of Hawaii, Hawaii"
ak,10646125,1,"Monday, January 28, 2013 15:12:50 UTC",62.4801,-151.2990,2.5,104.70,35,"Central Alaska"
ak,10646121,2,"Monday, January 28, 2013 14:59:36 UTC",54.3450,-161.8890,2.5,13.10, 8,"Alaska Peninsula"
ak,10646118,2,"Monday, January 28, 2013 14:42:11 UTC",54.3572,-161.9385,2.7,22.40, 9,"Alaska Peninsula"
nc,71930271,1,"Monday, January 28, 2013 13:22:19 UTC",38.8168,-122.8118,1.0,3.40,23,"Northern California"
nc,71930266,4,"Monday, January 28, 2013 13:14:36 UTC",41.3113,-122.1635,1.3,5.70,13,"Northern California"
us,c000ewn4,5,"Monday, January 28, 2013 12:40:39 UTC",52.6482,-169.3915,3.9,16.90,49,"Fox Islands, Aleutian Islands, Alaska"
nc,71933181,2,"Monday, January 28, 2013 12:22:54 UTC",41.3127,-122.1612,1.1,5.00,10,"Northern California"
nc,71930246,2,"Monday, January 28, 2013 12:02:29 UTC",37.6225,-119.0183,1.0,3.70,28,"Long Valley area, California"
us,c000ewmq,7,"Monday, January 28, 2013 12:00:17 UTC",-11.0701,165.3682,4.9,35.00,116,"Santa Cruz Islands"
ak,10646097,1,"Monday, January 28, 2013 11:56:01 UTC",64.9840,-149.0037,1.3,1.60,11,"Central Alaska"
nc,71930196,2,"Monday, January 28, 2013 11:23:06 UTC",37.6350,-119.0253,1.2,2.80, 7,"Long Valley area, California"
nc,71930191,1,"Monday, January 28, 2013 11:20:01 UTC",38.8385,-122.8280,1.4,2.60,29,"Northern California"
ci,15278513,2,"Monday, January 28, 2013 10:27:40 UTC",32.7560,-116.0270,1.4,10.60,22,"Southern California"
uw,60497842,1,"Monday, January 28, 2013 10:05:17 UTC",47.0022,-120.5753,1.6,1.30,15,"Washington"
ak,10646080,1,"Monday, January 28, 2013 09:59:42 UTC",62.9250,-149.7558,1.4,46.40, 6,"Central Alaska"
