Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71929591,0,"Sunday, January 27, 2013 12:21:35 UTC",38.8285,-122.8515,1.0,2.60,23,"Northern California"
ak,10645675,2,"Sunday, January 27, 2013 12:07:38 UTC",62.1605,-149.6925,1.4,12.10,19,"Central Alaska"
ak,10645676,2,"Sunday, January 27, 2013 12:05:19 UTC",60.8894,-138.2989,1.5,8.30, 6,"Southern Yukon Territory, Canada"
ak,10645671,2,"Sunday, January 27, 2013 12:00:10 UTC",60.1849,-151.2111,1.9,53.20,27,"Kenai Peninsula, Alaska"
pr,13027002,0,"Sunday, January 27, 2013 11:47:25 UTC",17.9853,-65.3796,2.5,17.00,11,"Puerto Rico region"
ak,10645669,2,"Sunday, January 27, 2013 11:44:55 UTC",58.9776,-136.3759,2.0,0.10,12,"Southeastern Alaska"
us,c000ewdp,8,"Sunday, January 27, 2013 11:39:12 UTC",32.3908,141.8446,4.6,34.40,67,"Izu Islands, Japan region"
ak,10645665,2,"Sunday, January 27, 2013 11:35:14 UTC",59.9145,-140.1459,2.3,2.70,20,"Southeastern Alaska"
ak,10645662,3,"Sunday, January 27, 2013 11:23:23 UTC",52.7213,-169.5795,3.7,4.60,22,"Fox Islands, Aleutian Islands, Alaska"
ak,10648203,2,"Sunday, January 27, 2013 11:21:25 UTC",55.5211,-135.4454,2.5,16.40, 7,"off the coast of Southeastern Alaska"
pr,13027001,0,"Sunday, January 27, 2013 11:06:44 UTC",18.0860,-66.0725,3.0,22.00,22,"Puerto Rico"
ak,10648202,2,"Sunday, January 27, 2013 11:01:58 UTC",62.1644,-148.6732,1.4,33.30,18,"Central Alaska"
ak,10648201,2,"Sunday, January 27, 2013 10:57:36 UTC",63.1871,-152.5512,1.4,12.70,10,"Central Alaska"
ak,10645659,2,"Sunday, January 27, 2013 10:56:57 UTC",63.1640,-151.3174,1.3,2.80,12,"Central Alaska"
nc,71929581,2,"Sunday, January 27, 2013 10:51:44 UTC",36.0133,-120.9625,1.6,6.50,41,"Central California"
ak,10648199,2,"Sunday, January 27, 2013 10:44:52 UTC",52.3235,-170.3134,2.5,35.00,11,"Fox Islands, Aleutian Islands, Alaska"
ak,10648198,2,"Sunday, January 27, 2013 10:44:09 UTC",63.3306,-145.2547,1.2,3.60,10,"Central Alaska"
nc,71929576,2,"Sunday, January 27, 2013 10:32:54 UTC",36.2892,-120.8388,1.5,8.60,34,"Central California"
ak,10645652,2,"Sunday, January 27, 2013 10:18:10 UTC",59.9303,-141.1574,1.9,10.60,21,"Southeastern Alaska"
ak,10645655,3,"Sunday, January 27, 2013 10:17:59 UTC",59.8816,-151.4215,2.2,71.60,33,"Kenai Peninsula, Alaska"
ak,10645646,1,"Sunday, January 27, 2013 10:17:59 UTC",59.9279,-151.3173,1.7,70.00, 8,"Kenai Peninsula, Alaska"
ak,10645643,2,"Sunday, January 27, 2013 10:16:08 UTC",63.3358,-145.1413,1.3,5.00,13,"Central Alaska"
us,c000ewcv,A,"Sunday, January 27, 2013 09:59:27 UTC",-16.1052,-173.2403,5.7,8.60,512,"Tonga"
nc,71929561,0,"Sunday, January 27, 2013 09:55:01 UTC",38.8432,-122.8318,1.2,2.30,19,"Northern California"
ak,10645635,2,"Sunday, January 27, 2013 09:40:12 UTC",60.0863,-152.8733,2.2,110.70,34,"Southern Alaska"
ci,15278169,2,"Sunday, January 27, 2013 09:31:24 UTC",34.0232,-117.2253,1.0,12.10,14,"Greater Los Angeles area, California"
ak,10645632,2,"Sunday, January 27, 2013 09:19:56 UTC",60.1066,-148.5074,2.0,3.90,23,"Kenai Peninsula, Alaska"
ak,10648192,2,"Sunday, January 27, 2013 09:16:14 UTC",61.5122,-146.2782,1.4,23.80,14,"Southern Alaska"
nc,71929556,2,"Sunday, January 27, 2013 09:14:59 UTC",38.5153,-122.2952,1.8,1.30,32,"Northern California"
nc,71929551,3,"Sunday, January 27, 2013 08:59:09 UTC",39.6343,-121.9843,1.3,15.30,14,"Northern California"
nn,00401026,9,"Sunday, January 27, 2013 08:53:18 UTC",38.6459,-118.3146,1.0,4.00, 4,"Nevada"
ak,10645628,3,"Sunday, January 27, 2013 08:48:58 UTC",51.6565,-178.1122,2.1,13.10,23,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10645794,3,"Sunday, January 27, 2013 08:46:41 UTC",52.3249,-175.6996,2.8,210.60,17,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60011562,4,"Sunday, January 27, 2013 08:45:51 UTC",44.4425,-111.0167,1.3,6.40,14,"Yellowstone National Park, Wyoming"
ak,10645626,2,"Sunday, January 27, 2013 08:42:18 UTC",52.0244,179.5769,2.7,168.00,17,"Rat Islands, Aleutian Islands, Alaska"
ak,10645621,2,"Sunday, January 27, 2013 08:34:04 UTC",62.2271,-149.8860,1.3,12.20,16,"Central Alaska"
ci,15278145,0,"Sunday, January 27, 2013 08:25:05 UTC",32.7878,-116.6390,1.7,18.00,48,"Southern California"
nn,00401024,9,"Sunday, January 27, 2013 08:22:06 UTC",39.5374,-119.9683,1.5,6.20,19,"Nevada"
nc,71929541,1,"Sunday, January 27, 2013 08:21:46 UTC",38.5257,-122.6568,1.7,6.40,14,"Northern California"
ak,10645612,2,"Sunday, January 27, 2013 08:03:59 UTC",62.9378,-148.8332,1.0,9.70,13,"Central Alaska"
us,c000ewc9,5,"Sunday, January 27, 2013 07:46:59 UTC",-58.8344,-25.2205,4.7,35.00,18,"South Sandwich Islands region"
ak,10648184,2,"Sunday, January 27, 2013 07:28:36 UTC",60.6526,-151.0451,1.6,54.10,21,"Kenai Peninsula, Alaska"
us,c000ewc1,6,"Sunday, January 27, 2013 07:24:33 UTC",-58.7570,-25.2290,4.7,35.00,18,"South Sandwich Islands region"
ci,15278137,0,"Sunday, January 27, 2013 07:21:36 UTC",32.8990,-116.2652,1.7,7.10,70,"Southern California"
ak,10648183,2,"Sunday, January 27, 2013 07:17:46 UTC",52.8614,-167.8406,1.8,33.30,10,"Fox Islands, Aleutian Islands, Alaska"
ak,10645604,2,"Sunday, January 27, 2013 07:09:16 UTC",51.5929,-178.0521,1.3,12.90,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10648181,2,"Sunday, January 27, 2013 06:56:17 UTC",58.8355,-154.4906,2.4,125.30,46,"Alaska Peninsula"
hv,60459571,2,"Sunday, January 27, 2013 06:55:59 UTC",19.3362,-155.1438,2.3,4.80,39,"Island of Hawaii, Hawaii"
nn,00401021,9,"Sunday, January 27, 2013 06:45:49 UTC",38.5242,-118.1547,1.4,8.50, 8,"Nevada"
ak,10645597,2,"Sunday, January 27, 2013 06:28:14 UTC",62.0845,-150.5662,1.4,4.10,22,"Central Alaska"
ak,10648179,2,"Sunday, January 27, 2013 06:21:35 UTC",51.2566,-177.8781,1.5,25.50,10,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71929516,1,"Sunday, January 27, 2013 06:20:29 UTC",38.8255,-122.8258,1.3,2.70,26,"Northern California"
nn,00401018,9,"Sunday, January 27, 2013 06:16:16 UTC",38.5383,-118.1550,1.6,5.40,13,"Nevada"
ci,15278105,4,"Sunday, January 27, 2013 06:15:28 UTC",34.0225,-117.2267,1.2,12.10,21,"Greater Los Angeles area, California"
nc,71929511,0,"Sunday, January 27, 2013 06:14:37 UTC",38.8188,-122.7627,1.2,2.10,24,"Northern California"
ci,15278097,3,"Sunday, January 27, 2013 06:14:36 UTC",34.0203,-117.2285,1.7,12.80,98,"Greater Los Angeles area, California"
ak,10648178,2,"Sunday, January 27, 2013 06:05:24 UTC",52.0505,-175.9921,1.9,223.40,15,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15278073,3,"Sunday, January 27, 2013 06:00:41 UTC",34.0185,-117.2303,1.6,12.70,114,"Greater Los Angeles area, California"
ak,10648177,2,"Sunday, January 27, 2013 05:57:24 UTC",62.6120,-152.3627,1.3,12.60,11,"Central Alaska"
ci,15278041,2,"Sunday, January 27, 2013 05:54:00 UTC",34.0177,-117.2270,1.0,12.40,68,"Greater Los Angeles area, California"
ci,15278033,2,"Sunday, January 27, 2013 05:45:13 UTC",34.0202,-117.2305,1.0,12.30,41,"Greater Los Angeles area, California"
ci,15278025,3,"Sunday, January 27, 2013 05:42:20 UTC",34.0213,-117.2292,1.6,12.50,99,"Greater Los Angeles area, California"
ak,10645582,2,"Sunday, January 27, 2013 05:40:26 UTC",60.6038,-152.5538,1.2,15.00,16,"Southern Alaska"
ak,10648175,2,"Sunday, January 27, 2013 05:35:42 UTC",63.0249,-149.3011,1.1,81.20,13,"Central Alaska"
hv,60459556,1,"Sunday, January 27, 2013 05:31:56 UTC",19.1975,-155.5177,1.9,38.40,33,"Island of Hawaii, Hawaii"
ak,10645580,2,"Sunday, January 27, 2013 05:18:33 UTC",51.4246,-174.1492,2.0,4.40,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10648173,2,"Sunday, January 27, 2013 05:11:23 UTC",58.5960,-153.6714,2.3,77.20,23,"Kodiak Island region, Alaska"
us,c000ewba,6,"Sunday, January 27, 2013 05:06:48 UTC",31.5032,103.3783,4.3,21.80,28,"eastern Sichuan, China"
nc,71929481,1,"Sunday, January 27, 2013 05:03:01 UTC",38.8292,-122.8065,1.4,1.00,27,"Northern California"
ci,15278017,3,"Sunday, January 27, 2013 04:59:04 UTC",36.0383,-117.3430,1.3,8.30,22,"Central California"
ak,10645573,2,"Sunday, January 27, 2013 04:55:09 UTC",65.2367,-149.5160,1.0,4.60,11,"northern Alaska"
nc,71929476,3,"Sunday, January 27, 2013 04:51:48 UTC",39.5465,-122.0043,1.9,14.10,29,"Northern California"
nn,00401016,9,"Sunday, January 27, 2013 04:45:26 UTC",37.1952,-114.5805,1.9,0.40, 6,"Nevada"
ak,10645569,3,"Sunday, January 27, 2013 04:44:23 UTC",53.6582,-165.7934,1.8,30.10,11,"Fox Islands, Aleutian Islands, Alaska"
ak,10645568,3,"Sunday, January 27, 2013 04:41:17 UTC",54.5443,-161.4109,2.0,8.40, 9,"Alaska Peninsula"
ak,10645566,3,"Sunday, January 27, 2013 04:35:45 UTC",52.1756,-175.8439,2.1,240.80,18,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10645564,2,"Sunday, January 27, 2013 04:16:47 UTC",62.1015,-150.6664,1.6,54.70,23,"Central Alaska"
hv,60459531,2,"Sunday, January 27, 2013 04:15:57 UTC",19.4065,-155.2635,2.3,14.50,52,"Island of Hawaii, Hawaii"
ak,10645555,2,"Sunday, January 27, 2013 04:14:35 UTC",63.4852,-150.8522,1.4,7.00,23,"Central Alaska"
ci,15278009,4,"Sunday, January 27, 2013 04:07:44 UTC",32.9123,-116.2383,1.0,10.40,36,"Southern California"
us,c000ewb3,7,"Sunday, January 27, 2013 04:05:42 UTC",-5.1704,102.9402,5.0,58.10,75,"southern Sumatra, Indonesia"
ci,15278001,3,"Sunday, January 27, 2013 03:54:27 UTC",35.5697,-118.5322,1.6,1.50,32,"Central California"
hv,60459521,1,"Sunday, January 27, 2013 03:50:13 UTC",19.2960,-155.3797,1.7,4.10, 8,"Island of Hawaii, Hawaii"
ak,10645550,2,"Sunday, January 27, 2013 03:47:27 UTC",51.4050,-175.8977,1.8,20.90,11,"Andreanof Islands, Aleutian Islands, Alaska"
hv,60459516,5,"Sunday, January 27, 2013 03:43:56 UTC",19.9247,-155.5365,3.2,21.10,72,"Island of Hawaii, Hawaii"
ak,10645545,2,"Sunday, January 27, 2013 03:40:08 UTC",51.8936,-173.6282,2.0,17.80,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10648163,2,"Sunday, January 27, 2013 03:35:50 UTC",63.4536,-150.0555,1.2,113.00,13,"Central Alaska"
ak,10645533,2,"Sunday, January 27, 2013 03:25:17 UTC",62.1580,-149.6495,1.6,52.30,30,"Central Alaska"
ak,10645528,2,"Sunday, January 27, 2013 03:18:17 UTC",63.2956,-149.0540,2.0,6.30,40,"Central Alaska"
us,c000ewax,6,"Sunday, January 27, 2013 03:17:57 UTC",34.2925,-106.7086,2.9,5.00,25,"New Mexico"
ci,15277993,3,"Sunday, January 27, 2013 02:47:04 UTC",33.6302,-116.6880,1.1,17.10,78,"Southern California"
nc,71929446,2,"Sunday, January 27, 2013 02:24:30 UTC",37.5802,-122.5008,1.2,6.90,21,"San Francisco Bay area, California"
nc,71929426,1,"Sunday, January 27, 2013 01:55:51 UTC",36.8237,-121.5548,2.8,5.40,58,"Central California"
uu,60011542,4,"Sunday, January 27, 2013 01:38:24 UTC",44.7305,-110.3810,1.0,6.00, 7,"Yellowstone National Park, Wyoming"
ak,10648160,2,"Sunday, January 27, 2013 01:37:38 UTC",62.4364,-149.1112,1.1,5.10,18,"Central Alaska"
nc,71929416,4,"Sunday, January 27, 2013 01:32:20 UTC",37.6378,-119.3767,1.1,7.20,13,"Central California"
nc,71929411,1,"Sunday, January 27, 2013 01:23:15 UTC",38.7873,-122.7625,1.5,1.20,23,"Northern California"
nc,71932546,2,"Sunday, January 27, 2013 01:12:56 UTC",40.5802,-122.3040,1.5,18.30,12,"Northern California"
ak,10648159,2,"Sunday, January 27, 2013 00:56:30 UTC",63.8407,-148.8544,1.3,112.20,14,"Central Alaska"
us,c000ewag,4,"Sunday, January 27, 2013 00:56:18 UTC",-44.6350,37.4337,4.8,15.20,21,"Prince Edward Islands region"
hv,60459466,2,"Sunday, January 27, 2013 00:34:27 UTC",19.3460,-155.0892,2.5,6.90,35,"Island of Hawaii, Hawaii"
pr,13027000,0,"Sunday, January 27, 2013 00:29:54 UTC",18.0025,-65.6183,2.4,18.00, 5,"Puerto Rico region"
us,c000ewaa,5,"Sunday, January 27, 2013 00:27:18 UTC",-9.5294,121.8910,4.9,59.50,55,"Savu Sea"
ak,10648158,2,"Sunday, January 27, 2013 00:25:41 UTC",60.5140,-150.8970,1.4,15.40,18,"Kenai Peninsula, Alaska"
nc,71929386,2,"Sunday, January 27, 2013 00:24:22 UTC",36.2983,-120.8752,1.1,5.10,11,"Central California"
ak,10645505,2,"Sunday, January 27, 2013 00:19:48 UTC",51.5893,-178.4124,2.1,13.20,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10645501,2,"Sunday, January 27, 2013 00:04:28 UTC",60.1794,-150.4950,2.4,45.10,28,"Kenai Peninsula, Alaska"
ak,10645497,3,"Sunday, January 27, 2013 00:04:15 UTC",61.5908,-151.7124,2.3,103.30,28,"Southern Alaska"
ak,10647325,2,"Saturday, January 26, 2013 23:01:23 UTC",60.1444,-153.3552,2.2,123.00,20,"Southern Alaska"
ak,10645491,2,"Saturday, January 26, 2013 22:47:33 UTC",63.2806,-152.3891,1.4,13.10,11,"Central Alaska"
ak,10647323,2,"Saturday, January 26, 2013 22:37:53 UTC",54.5614,-161.7739,1.5,20.60, 6,"Alaska Peninsula"
ak,10645490,2,"Saturday, January 26, 2013 22:20:18 UTC",53.0282,-166.9380,2.3,25.40,16,"Fox Islands, Aleutian Islands, Alaska"
nn,00400996,9,"Saturday, January 26, 2013 22:13:21 UTC",38.1556,-118.0311,1.6,0.00, 9,"Nevada"
ci,15277945,0,"Saturday, January 26, 2013 22:09:24 UTC",32.9265,-116.3025,1.8,5.10,75,"Southern California"
ak,10647321,2,"Saturday, January 26, 2013 22:07:22 UTC",55.7006,-160.5081,1.8,97.10, 8,"Alaska Peninsula"
nc,71929331,3,"Saturday, January 26, 2013 22:01:24 UTC",38.0620,-118.9480,1.9,9.20,39,"Central California"
ak,10647320,2,"Saturday, January 26, 2013 21:58:53 UTC",53.1633,-168.5518,1.9,6.60, 7,"Fox Islands, Aleutian Islands, Alaska"
ak,10647319,2,"Saturday, January 26, 2013 21:56:03 UTC",62.3401,-150.9370,1.5,69.30,18,"Central Alaska"
nc,71929326,0,"Saturday, January 26, 2013 21:54:11 UTC",38.7878,-122.7622,1.0,1.60,16,"Northern California"
ak,10647318,2,"Saturday, January 26, 2013 21:42:47 UTC",51.8980,-171.5368,2.4,25.60,13,"Fox Islands, Aleutian Islands, Alaska"
nn,00400985,9,"Saturday, January 26, 2013 21:38:24 UTC",38.1484,-117.9847,1.4,6.10,12,"Nevada"
ak,10645479,3,"Saturday, January 26, 2013 21:19:45 UTC",51.6554,-175.9629,1.3,52.30,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10647316,2,"Saturday, January 26, 2013 21:17:11 UTC",58.9950,-152.9587,2.3,67.90,30,"Kodiak Island region, Alaska"
ak,10647315,2,"Saturday, January 26, 2013 21:14:53 UTC",53.5276,-165.1230,1.9,15.30,14,"Fox Islands, Aleutian Islands, Alaska"
